,Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Rate
0,36,AFG,Afghanistan,Kabul,Asia,41128771.0,38972230.0,33753499.0,28189672.0,19542982.0,10694796.0,12486631.0,10752971.0,652230.0,63.0587,1.0257,0.52,10
1,34,DZA,Algeria,Algiers,Africa,44903225.0,43451666.0,39543154.0,35856344.0,30774621.0,25518074.0,18739378.0,13795915.0,2381741.0,18.8531,1.0164,0.56,5
2,42,AGO,Angola,Luanda,Africa,35588987.0,33428485.0,28127721.0,23364185.0,16394062.0,11828638.0,8330047.0,6029700.0,1246700.0,28.5466,1.0315,0.45,5
3,140,ARM,Armenia,Yerevan,Asia,2780469.0,2805608.0,2878595.0,2946293.0,3168523.0,3556539.0,3135123.0,2534377.0,29743.0,93.4831,0.9962,0.03,10
4,91,AZE,Azerbaijan,Baku,Asia,10358074.0,,9863480.0,9237202.0,8190337.0,7427836.0,6383060.0,5425317.0,86600.0,119.6082,1.0044,0.13,10
5,154,BHR,Bahrain,Manama,Asia,1472233.0,1477469.0,1362142.0,1213645.0,711442.0,517418.0,362595.0,222555.0,765.0,1924.4876,1.0061,0.02,10
6,8,BGD,Bangladesh,Dhaka,Asia,171186372.0,167420951.0,157830000.0,148391139.0,129193327.0,107147651.0,83929765.0,67541860.0,147570.0,1160.035,1.0108,2.15,10
7,77,BEN,Benin,Porto-Novo,Africa,13352864.0,12643123.0,10932783.0,9445710.0,6998023.0,5133419.0,3833939.0,3023443.0,112622.0,118.5635,1.0274,0.17,5
8,165,BTN,Bhutan,Thimphu,Asia,782455.0,772506.0,743274.0,705516.0,587207.0,558442.0,415257.0,298894.0,38394.0,20.3796,1.0064,0.01,10
9,144,BWA,Botswana,Gaborone,Africa,2630296.0,2546402.0,2305171.0,2091664.0,1726985.0,1341474.0,938578.0,592244.0,582000.0,4.5194,1.0162,0.03,5
10,175,BRN,Brunei,Bandar Seri Begawan,Asia,449002.0,441725.0,421437.0,396053.0,333926.0,261928.0,187921.0,133343.0,5765.0,77.8841,1.0081,0.01,10
11,58,BFA,Burkina Faso,Ouagadougou,Africa,22673762.0,21522626.0,18718019.0,16116845.0,11882888.0,9131361.0,6932967.0,5611666.0,272967.0,83.0641,1.0259,0.28,5
12,78,BDI,Burundi,Bujumbura,Africa,12889576.0,12220227.0,10727148.0,9126605.0,6307659.0,5483793.0,4312834.0,3497834.0,27834.0,463.0874,1.027,0.16,5
13,73,KHM,Cambodia,Phnom Penh,Asia,16767842.0,16396860.0,15417523.0,14363532.0,12118841.0,8910808.0,6198959.0,6708525.0,181035.0,92.6221,1.0108,0.21,10
14,53,CMR,Cameroon,Yaounde,Africa,27914536.0,26491087.0,23012646.0,19878036.0,15091594.0,11430520.0,8519891.0,6452787.0,475442.0,58.7128,1.0263,0.35,5
15,171,CPV,Cape Verde,Praia,Africa,593149.0,582640.0,552166.0,521212.0,458251.0,364563.0,317234.0,287262.0,4033.0,147.0739,1.0089,0.01,5
16,117,CAF,Central African Republic,Bangui,Africa,5579144.0,5343020.0,4819333.0,4660067.0,3759170.0,2809221.0,2415276.0,2067356.0,622984.0,8.9555,1.0224,0.07,5
17,69,TCD,Chad,N'Djamena,Africa,17723315.0,16644701.0,14140274.0,11894727.0,8259137.0,5827069.0,4408230.0,3667394.0,1284000.0,13.8032,1.0316,0.22,5
18,1,CHN,China,Beijing,Asia,1425887337.0,1424929781.0,1393715448.0,1348191368.0,1264099069.0,1153704252.0,982372466.0,822534450.0,9706961.0,146.8933,1.0,17.88,10
19,163,COM,Comoros,Moroni,Africa,836774.0,806166.0,730216.0,656024.0,536758.0,431119.0,328328.0,242351.0,1862.0,449.3953,1.0184,0.01,5
20,160,DJI,Djibouti,Djibouti,Africa,1120849.0,1090156.0,1006259.0,919199.0,742033.0,577173.0,324121.0,144379.0,23200.0,48.3125,1.0138,0.01,5
21,15,COD,DR Congo,Kinshasa,Africa,99010212.0,92853164.0,78656904.0,66391257.0,48616317.0,35987541.0,26708686.0,20151733.0,2344858.0,42.2244,1.0325,1.24,5
22,14,EGY,Egypt,Cairo,Africa,110990103.0,107465134.0,97723799.0,87252413.0,71371371.0,57214630.0,43748556.0,34781986.0,1002450.0,110.7188,1.0158,1.39,5
23,152,GNQ,Equatorial Guinea,Malabo,Africa,1674908.0,1596049.0,,1094524.0,684977.0,465549.0,282509.0,316955.0,28051.0,59.7094,1.0247,0.02,5
24,132,ERI,Eritrea,Asmara,Africa,3684032.0,3555868.0,3340006.0,3147727.0,2392880.0,2149960.0,1657982.0,1272748.0,117600.0,31.3268,1.0176,0.05,5
25,159,SWZ,Eswatini,Mbabane,Africa,,1180655.0,1133936.0,1099920.0,1030496.0,854011.0,598564.0,442865.0,17364.0,69.2047,1.0079,0.02,5
26,12,ETH,Ethiopia,Addis Ababa,Africa,123379924.0,117190911.0,102471895.0,89237791.0,67031867.0,47878073.0,34945469.0,28308246.0,1104300.0,111.7268,1.0257,1.55,5
27,146,GAB,Gabon,Libreville,Africa,2388992.0,2292573.0,2028517.0,1711105.0,1272935.0,983028.0,749078.0,597192.0,267668.0,8.9252,1.0204,0.03,5
28,142,GMB,Gambia,Banjul,Africa,2705992.0,2573995.0,2253133.0,,,,,,10689.0,253.1567,1.025,0.03,5
29,131,GEO,Georgia,Tbilisi,Asia,3744385.0,3765912.0,3771132.0,,,,,,69700.0,53.7214,0.9964,0.05,10
30,47,GHA,Ghana,Accra,Africa,33475870.0,32180401.0,28870939.0,25574719.0,19665502.0,15446982.0,11865246.0,8861895.0,238533.0,140.3406,1.0196,0.42,5
31,75,GIN,Guinea,Conakry,Africa,13859341.0,13205153.0,11625998.0,10270728.0,8336967.0,6354145.0,4972609.0,4222374.0,245857.0,56.3716,1.0242,0.17,5
32,149,GNB,Guinea-Bissau,Bissau,Africa,2105566.0,2015828.0,1788919.0,1567220.0,1230849.0,973551.0,831462.0,591663.0,36125.0,58.2856,1.0218,0.03,5
33,104,HKG,Hong Kong,Hong Kong,Asia,7488865.0,7500958.0,7399838.0,7132438.0,6731195.0,5838574.0,4978544.0,3955072.0,1104.0,6783.3922,0.9992,0.09,10
34,2,IND,India,New Delhi,Asia,1417173173.0,1396387127.0,1322866505.0,1240613620.0,1059633675.0,,,557501301.0,3287590.0,431.0675,1.0068,17.77,10
35,4,IDN,Indonesia,Jakarta,Asia,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,1904569.0,144.6529,1.0064,3.45,10
36,17,IRN,Iran,Tehran,Asia,88550570.0,87290193.0,81790841.0,75373855.0,65544383.0,55793629.0,38520664.0,28449705.0,1648195.0,53.7258,1.0071,1.11,10
37,35,IRQ,Iraq,Baghdad,Asia,44496122.0,42556984.0,37757813.0,31264875.0,24628858.0,17658381.0,13653369.0,9811347.0,438317.0,101.5158,1.0221,0.56,10
38,98,ISR,Israel,Jerusalem,Asia,9038309.0,8757489.0,8007778.0,7328445.0,6116958.0,4803254.0,3744608.0,2907307.0,20770.0,435.1617,1.0155,0.11,10
39,52,CIV,Ivory Coast,Yamoussoukro,Africa,28160542.0,26811790.0,23596741.0,21120042.0,16799670.0,11910540.0,8303809.0,5477086.0,322463.0,,,0.35,5
40,11,JPN,Japan,Tokyo,Asia,123951692.0,125244761.0,127250933.0,128105431.0,126803861.0,123686321.0,117624196.0,105416839.0,377930.0,327.9753,0.9947,1.55,10
41,83,JOR,Jordan,Amman,Asia,11285869.0,10928721.0,9494246.0,6931258.0,5056174.0,3480587.0,2216903.0,1557374.0,89342.0,126.3221,1.0123,0.14,10
42,66,KAZ,Kazakhstan,Nursultan,Asia,19397998.0,18979243.0,17835909.0,16627837.0,15236253.0,16866563.0,14172710.0,12265305.0,2724900.0,7.1188,1.0105,0.24,10
43,27,KEN,Kenya,Nairobi,Africa,54027487.0,51985780.0,46851488.0,41517895.0,30851606.0,23162269.0,16187124.0,11473087.0,580367.0,93.0919,1.0193,0.68,5
44,129,KWT,Kuwait,Kuwait City,Asia,4268873.0,4360444.0,3908743.0,2943356.0,1934901.0,1674938.0,1493870.0,802786.0,17818.0,239.5821,1.0044,0.05,10
45,110,KGZ,Kyrgyzstan,Bishkek,Asia,6630623.0,6424874.0,5914980.0,5483774.0,4935182.0,4394734.0,3691209.0,3016384.0,199951.0,33.1612,1.0158,0.08,10
46,103,LAO,Laos,Vientiane,Asia,7529475.0,7319399.0,6787419.0,6323418.0,5430853.0,4314443.0,3297519.0,2675283.0,236800.0,31.7968,1.0141,0.09,10
47,119,LBN,Lebanon,Beirut,Asia,5489739.0,5662923.0,6398940.0,4995800.0,4320642.0,3593700.0,2963702.0,2381791.0,10452.0,525.2334,0.9816,0.07,10
48,147,LSO,Lesotho,Maseru,Africa,2305825.0,2254100.0,2118521.0,2022747.0,1998630.0,1798997.0,1407672.0,1023481.0,30355.0,75.962,1.0107,0.03,5
49,121,LBR,Liberia,Monrovia,Africa,5302681.0,5087584.0,4612329.0,4019956.0,2895224.0,2209731.0,1932169.0,1463563.0,111369.0,47.6136,1.021,0.07,5
50,107,LBY,Libya,Tripoli,Africa,6812341.0,6653942.0,6192235.0,6491988.0,5154790.0,4236983.0,2962720.0,1909177.0,1759540.0,3.8717,1.0114,0.09,5
51,167,MAC,Macau,Concelho de Macau,Asia,695168.0,676283.0,615239.0,557297.0,431896.0,350227.0,245332.0,247284.0,30.0,23172.2667,1.0125,0.01,10
52,50,MDG,Madagascar,Antananarivo,Africa,29611714.0,28225177.0,24850912.0,21731053.0,16216431.0,11882762.0,8948162.0,6639751.0,587041.0,50.4423,1.0241,0.37,5
53,62,MWI,Malawi,Lilongwe,Africa,20405317.0,19377061.0,16938942.0,14718422.0,11229387.0,9539665.0,6267369.0,4625141.0,118484.0,172.22,1.0259,0.26,5
